month,total,timeRange.start,timeRange.end,,countryCode,country_Name,Two_Letter_Country_Code
2015-01-01T00:00:00.000Z,4333388,2015-01-01T00:00:00.000Z,2015-02-01T00:00:00.000Z,,ZW,New Zealand,NF
2015-02-01T00:00:00.000Z,3962536,2015-02-01T00:00:00.000Z,2015-03-01T00:00:00.000Z,,,"Nicaragua, Republic of",NO
2015-03-01T00:00:00.000Z,4829255,2015-03-01T00:00:00.000Z,2015-04-01T00:00:00.000Z,,,"Niger, Republic of",MP
2015-04-01T00:00:00.000Z,5445461,2015-04-01T00:00:00.000Z,2015-05-01T00:00:00.000Z,,,"Nigeria, Federal Republic of",UM
2015-05-01T00:00:00.000Z,4514394,2015-05-01T00:00:00.000Z,2015-06-01T00:00:00.000Z,,,Niue,UM
2015-06-01T00:00:00.000Z,4205578,2015-06-01T00:00:00.000Z,2015-07-01T00:00:00.000Z,,,Norfolk Island,FM
2015-07-01T00:00:00.000Z,4314064,2015-07-01T00:00:00.000Z,2015-08-01T00:00:00.000Z,,,"Northern Mariana Islands, Commonwealth of the",MH
2015-08-01T00:00:00.000Z,4558329,2015-08-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,,,"Norway, Kingdom of",PW
2015-09-01T00:00:00.000Z,4422612,2015-09-01T00:00:00.000Z,2015-10-01T00:00:00.000Z,,,"Oman, Sultanate of",PK
2015-10-01T00:00:00.000Z,4610663,2015-10-01T00:00:00.000Z,2015-11-01T00:00:00.000Z,,,"Pakistan, Islamic Republic of",PA
2015-11-01T00:00:00.000Z,4485183,2015-11-01T00:00:00.000Z,2015-12-01T00:00:00.000Z,,,"Palau, Republic of",PG
2015-12-01T00:00:00.000Z,4225644,2015-12-01T00:00:00.000Z,2016-01-01T00:00:00.000Z,,,"Palestinian Territory, Occupied",PY
2016-01-01T00:00:00.000Z,4742212,2016-01-01T00:00:00.000Z,2016-02-01T00:00:00.000Z,,,"Panama, Republic of",PE
2016-02-01T00:00:00.000Z,4712393,2016-02-01T00:00:00.000Z,2016-03-01T00:00:00.000Z,,,"Papua New Guinea, Independent State of",PH
2016-03-01T00:00:00.000Z,5017891,2016-03-01T00:00:00.000Z,2016-04-01T00:00:00.000Z,,,"Paraguay, Republic of",PN
2016-04-01T00:00:00.000Z,4781542,2016-04-01T00:00:00.000Z,2016-05-01T00:00:00.000Z,,,"Peru, Republic of",PL
2016-05-01T00:00:00.000Z,4791404,2016-05-01T00:00:00.000Z,2016-06-01T00:00:00.000Z,,,"Philippines, Republic of the",PT
2016-06-01T00:00:00.000Z,4389917,2016-06-01T00:00:00.000Z,2016-07-01T00:00:00.000Z,,,Pitcairn Islands,GW
2016-07-01T00:00:00.000Z,4434766,2016-07-01T00:00:00.000Z,2016-08-01T00:00:00.000Z,,,"Poland, Republic of",TL
2016-08-01T00:00:00.000Z,4447212,2016-08-01T00:00:00.000Z,2016-09-01T00:00:00.000Z,,,"Portugal, Portuguese Republic",PR
